,start,end,station
147,2021-01-19 01:11:04,2021-01-19 01:18:14,3
148,2021-01-19 01:48:14,2021-01-19 01:49:00,3
149,2021-01-19 12:44:39,2021-01-19 12:49:16,7
150,2021-01-19 13:05:05,2021-01-19 13:05:40,7
151,2021-01-19 13:13:42,2021-01-19 13:15:07,7
152,2021-01-19 13:20:38,2021-01-19 13:21:33,7
153,2021-01-19 13:26:42,2021-01-19 13:28:15,8
154,2021-01-19 13:36:27,2021-01-19 13:36:57,7
155,2021-01-19 14:31:13,2021-01-19 14:32:02,1
156,2021-01-19 14:35:03,2021-01-19 14:35:27,1
157,2021-01-19 14:37:14,2021-01-19 14:37:25,1
158,2021-01-19 14:40:25,2021-01-19 14:40:27,1
159,2021-01-19 14:42:48,2021-01-19 14:43:29,1
160,2021-01-19 14:44:03,2021-01-19 14:46:58,1
161,2021-01-19 14:51:05,2021-01-19 14:51:21,1
162,2021-01-19 15:07:09,2021-01-19 15:07:16,1
163,2021-01-19 15:09:32,2021-01-19 15:10:52,1
164,2021-01-19 15:11:32,2021-01-19 15:11:59,1
165,2021-01-19 15:14:48,2021-01-19 15:14:55,1
166,2021-01-20 10:36:39,2021-01-20 10:37:26,2
167,2021-01-20 11:27:47,2021-01-20 11:27:53,2
168,2021-01-20 11:48:02,2021-01-20 11:51:28,2
169,2021-01-20 11:53:46,2021-01-20 11:53:48,2
170,2021-01-20 11:59:53,2021-01-20 12:00:00,2
171,2021-01-20 12:05:12,2021-01-20 12:05:22,2
172,2021-01-20 12:15:00,2021-01-20 12:15:33,2
173,2021-01-20 12:23:39,2021-01-20 12:23:58,2
174,2021-01-20 14:09:06,2021-01-20 14:09:21,2
175,2021-01-20 14:11:19,2021-01-20 14:11:30,2
176,2021-01-22 10:31:28,2021-01-22 10:31:31,2
177,2021-01-22 11:50:21,2021-01-22 11:50:28,6
178,2021-01-22 11:57:50,2021-01-22 11:57:59,6
179,2021-01-22 12:09:37,2021-01-22 12:14:01,6
180,2021-01-22 12:21:36,2021-01-22 12:21:39,5
181,2021-01-22 12:26:11,2021-01-22 12:26:31,8
182,2021-01-22 12:26:50,2021-01-22 12:29:18,8
183,2021-01-22 12:29:29,2021-01-22 12:31:20,8
184,2021-01-22 12:39:56,2021-01-22 12:43:03,8
185,2021-01-22 12:46:05,2021-01-22 12:48:57,8
186,2021-01-22 12:51:45,2021-01-22 12:52:24,8
187,2021-01-22 12:57:09,2021-01-22 12:59:42,8
188,2021-01-22 13:02:02,2021-01-22 13:02:25,8
189,2021-01-22 13:05:08,2021-01-22 13:05:33,8
190,2021-01-22 13:07:05,2021-01-22 13:09:08,8
191,2021-01-22 14:37:15,2021-01-22 14:37:18,1
192,2021-01-22 14:37:58,2021-01-22 14:38:11,1
193,2021-01-22 14:41:14,2021-01-22 14:41:18,1
194,2021-01-22 14:41:31,2021-01-22 14:41:53,1
195,2021-01-22 14:42:13,2021-01-22 14:42:17,1
196,2021-01-22 14:50:40,2021-01-22 14:50:59,2
197,2021-01-22 14:51:50,2021-01-22 14:52:00,2
198,2021-01-22 14:56:47,2021-01-22 14:57:03,2
199,2021-01-22 14:56:56,2021-01-22 14:57:13,1
200,2021-01-22 14:57:56,2021-01-22 14:57:58,1
201,2021-01-22 14:59:38,2021-01-22 15:00:07,1
202,2021-01-22 15:02:05,2021-01-22 15:02:13,2
203,2021-01-22 15:02:46,2021-01-22 15:02:57,1
204,2021-01-22 15:03:38,2021-01-22 15:04:43,1
205,2021-01-22 15:04:10,2021-01-22 15:04:51,2
206,2021-01-22 15:06:36,2021-01-22 15:08:13,1
207,2021-01-22 15:13:36,2021-01-22 15:14:14,1
208,2021-01-24 08:04:42,2021-01-24 08:04:44,10
209,2021-01-25 12:01:01,2021-01-25 12:01:16,1
210,2021-01-29 11:48:21,2021-01-29 11:48:33,5
211,2021-01-29 11:51:41,2021-01-29 11:52:20,6
212,2021-01-29 11:59:32,2021-01-29 12:00:11,6
213,2021-01-29 12:12:12,2021-01-29 12:12:57,6
214,2021-01-29 13:04:55,2021-01-29 13:05:16,8
215,2021-01-29 13:11:07,2021-01-29 13:14:29,8
216,2021-02-02 11:10:58,2021-02-02 11:11:13,6
217,2021-02-02 11:11:25,2021-02-02 11:11:40,6
218,2021-02-02 11:49:40,2021-02-02 11:50:13,6
219,2021-02-02 11:52:49,2021-02-02 11:53:13,6
220,2021-02-02 12:04:53,2021-02-02 12:05:24,8
221,2021-02-02 12:51:04,2021-02-02 12:51:30,7
222,2021-02-02 12:51:59,2021-02-02 12:52:33,7
223,2021-02-02 12:53:29,2021-02-02 12:53:45,7
224,2021-02-02 12:56:25,2021-02-02 12:56:32,7
225,2021-02-02 12:56:47,2021-02-02 12:57:30,7
226,2021-02-04 20:56:15,2021-02-04 20:58:09,9
227,2021-02-04 20:58:46,2021-02-04 21:00:04,9
228,2021-02-04 21:18:53,2021-02-04 21:22:06,9
229,2021-02-04 21:41:23,2021-02-04 21:48:13,9
230,2021-02-04 22:48:17,2021-02-04 23:11:13,9
231,2021-02-04 23:25:23,2021-02-04 23:28:19,9
232,2021-02-04 23:29:30,2021-02-04 23:30:28,9
233,2021-02-04 23:33:18,2021-02-04 23:35:37,9
234,2021-02-04 23:35:53,2021-02-04 23:36:45,9
235,2021-02-04 23:40:20,2021-02-04 23:40:29,9
236,2021-02-05 00:04:28,2021-02-05 00:04:34,9
237,2021-02-05 00:05:30,2021-02-05 00:07:57,9
238,2021-02-05 00:10:55,2021-02-05 00:11:20,9
